UF,Cidade,Urna,Data Leitura UTC,Zona,Secao,Turno,Qr Code
PE,Recife,1774798,2016-10-30 22:01:53.797,8,110,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:110 IDUE:1774798 IDCA:760264926761976876993240 VERS:5.25.0.1 LOCA:1171 APTO:303 COMP:268 FALT:35 HBMA:12 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170040 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:72 40:160 NOMI:232 BRAN:8 NULO:28 TOTC:268 HASH:A9ECC31FBEA63A4A93D561031720DA1F3BAF74C84103FF154A1AEB81B2AAEB7A99AC6DBF0AF8C1CED580258245AEF28BC0DA2892ED50749D2B416136D89CF9C9 ASSI:51427DB8EB40DC4322DECD8553B8BF3FFA23530C3403EBC967EDDA140A47624D1594D93AB32E1FE29F41F6C273BEFBB9C96C93D476E5AA4E6DD97C9DCAF09209
PE,Recife,1774423,2016-10-30 22:00:57.550,8,111,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:111 IDUE:1774423 IDCA:315719587916270490154158 VERS:5.25.0.1 LOCA:1171 APTO:331 COMP:279 FALT:52 HBMA:24 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170136 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:88 40:169 NOMI:257 BRAN:6 NULO:16 TOTC:279 HASH:88723596220C57F549DDE1C6E2FCE14FCE84E21B0E6D6CC4E9404F250CB002D6C5C982950D78125D32952B3460357C4D4FF6572E2F8B6E02141DC868FC35B9F8 ASSI:623AD8B424C6138E3916066CE8D8DE9C7A0929ACF8E86EBFC92EF529807FEF965431B734FE923EC4BDC05FCA44FC57173148FBBDFCB9DBECA21971AB7DDE6F00
RJ,Rio De Janeiro,1232845,2016-10-30 21:03:32.417,229,112,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:229 SECA:112 IDUE:1232845 IDCA:877392870619015661949696 VERS:5.25.0.1 LOCA:1180 APTO:491 COMP:343 FALT:148 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170032 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:155 50:125 NOMI:280 BRAN:9 NULO:54 TOTC:343 HASH:67069CD458E185724C1B19F13B79DF2BD70F3638A3CBDF5A11687200745C62FC97D04750E3075B8C0DB1DE820A4A040A69DC264BC0C334AE237E941485155E80 ASSI:73165FD30C5F1C9A2E4D37EF88B4F9DEC8FBACAEF13C3EF71A0CD47D6B7C64C2CF0187FBCCF6B78AE82A4D2AE99553414E29D1928542C7B189B6E7DA04BC330C
MG,Belo Horizonte,1156282,2016-10-30 19:26:19.610,334,112,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:41238 ZONA:334 SECA:112 IDUE:1156282 IDCA:754767132024598319713166 VERS:5.25.0.1 LOCA:1104 APTO:475 COMP:337 FALT:138 HBMA:9 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170038 IDEL:221 CARG:11 TIPO:0 VERC:201610190939 31:143 45:119 NOMI:262 BRAN:21 NULO:54 TOTC:337 HASH:1B7098BB538319E57B3A37BA0561C0C0553326BE6620103B878483DC2682FF53AFA5222066B35E5285A14D4B4BD05AC0AB2910EA30C0C8B6737A5D1B12D341F6 ASSI:44BDC767AAF34980FB3ABA0768F024F7CE7BA5444B700A9AD0CD77DDF5550AAC53816197E231D031117508013E5CDA795A5528991DE271BAE0231D6CEE9FBB0C
PE,Recife,1772817,2016-10-30 21:59:28.097,8,112,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:112 IDUE:1772817 IDCA:517739893436587178183135 VERS:5.25.0.1 LOCA:1171 APTO:332 COMP:284 FALT:48 HBMA:18 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170020 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:84 40:168 NOMI:252 BRAN:10 NULO:22 TOTC:284 HASH:7FB95073CADDAF485CC4F38CCB617BD5D274B0EFB758C923CC027F14E75BAC296DA69D33F06C488E2ED365AC9FED1A144D4B9B18DB7024AB7A6C886678C9B78E ASSI:23097918C7BFF14EA806BC47A83B0F18379369513CB56B69EF6324B77ECBB825EA12AD43C19E1680397B740F2823B293C85C7BDFCAD2F32B1EFCA01F4FE8D000
RJ,Rio De Janeiro,1231724,2016-10-30 21:02:06.457,229,113,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:229 SECA:113 IDUE:1231724 IDCA:463277951852929844379883 VERS:5.25.0.1 LOCA:1180 APTO:493 COMP:345 FALT:148 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170016 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:156 50:125 NOMI:281 BRAN:14 NULO:50 TOTC:345 HASH:E512B8E70F9649A3E3B5D387CDBB409CE3934436C5193775A5A34CE4DA27413BDBB450BCDA7F0218632AAD0A87812ADCD2B5325C9CF5A1DD5646300ECF98232F ASSI:7986FF11B7B074E5AF7720EC5F2B04CC96FC5B02008F1C0ABFC797E750FB0D559F20291E360B6024935AD82003A8415B81AFD991766539B75460E026C7AC5202
PE,Recife,1807570,2016-10-30 21:59:39.223,8,113,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:113 IDUE:1807570 IDCA:558143049540871775274536 VERS:5.25.0.1 LOCA:1171 APTO:334 COMP:289 FALT:45 HBMA:33 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170015 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:84 40:177 NOMI:261 BRAN:7 NULO:21 TOTC:289 HASH:10BF392797F4F2608A7ED33F272083D919A3D3235543F43F0E8CC8AAB8498F6A38C4968BBEA84B96694FA65927A5F7C9F2A3BB72E7243D490037B4AE9A016DE5 ASSI:7589705956B1725A5F1265FA49F5850466BE5E0819D4543CDF070E30C25B325CDE3FF411A2576262B029F0F4EB2CF9B23CD215A8B9B7CDC563BBD1AA6B9CED04
RJ,Rio De Janeiro,1825649,2016-10-30 19:15:07.990,246,115,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:246 SECA:115 IDUE:1825649 IDCA:685480396714266214120689 VERS:5.25.0.1 LOCA:1201 APTO:479 COMP:389 FALT:90 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170220 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:270 50:62 NOMI:332 BRAN:10 NULO:47 TOTC:389 HASH:F3F27A50A78979045CE11D3CF3A71742EDB08D6D9361AC3C6D9784EB7D6AE3654BC1E60D54E235979946F1D5E32AC98B7287C2AE3409626F0EF102C80AAC1E60 ASSI:75262EF4EE63DB3170B3790B21F2F6776896A3CE096B7DB56A505D60C6269331F03DBCD5087FE3E1CCB047DE1FE359674897FF95B8AC1DF16748DA629CD36003
RJ,Rio De Janeiro,1670531,2016-10-30 21:02:27.300,229,120,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:229 SECA:120 IDUE:1670531 IDCA:059110051002183969224282 VERS:5.25.0.1 LOCA:1180 APTO:348 COMP:263 FALT:85 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170033 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:134 50:88 NOMI:222 BRAN:11 NULO:30 TOTC:263 HASH:1F7F59E289DEDCD8D0B5BB6F6FF88C41C3F477DD7E6D357F16015E97E9F90B13756CF83D76E58E1575EC59D5C00793DEF2B03E5FD9892EB65A166D9949EFE5F2 ASSI:FE0A13D74590D0382FC5CEC93EA419FC2289C7911F4782712F0A59E741C08259578E2772BF371413F76FB2A2497A280EF1DE279FC0D9C03B24E7A8F3435ACF0B
PE,Jaboatão Dos Guararapes,1069185,2016-10-30 19:14:57.513,110,123,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:24570 ZONA:110 SECA:123 IDUE:1069185 IDCA:138329690932159945930331 VERS:5.25.0.1 LOCA:1090 APTO:329 COMP:239 FALT:90 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170330 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 12:80 22:115 NOMI:195 BRAN:15 NULO:29 TOTC:239 HASH:152DC6C1BABCDCC2BAFACC3BC3559477ECDC12B47DBBFA12E6BD43AE5B8A2A34AB356646AF46E46D20EE128C77A8B3CED5D63E477CFAC851FF484A1A2E534B67 ASSI:67057AAD227D633569034376501E6095E0D9783100EC3713C457B7638793CD408F9942CBE4A3D172A3AD67B5E3DC12CE85C9E670B97073FE1145792C19541305
