UF,Cidade,Urna,Data Leitura UTC,Zona,Secao,Turno,Qr Code
RJ,Rio De Janeiro,1824903,2016-10-30 19:14:24.397,246,124,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:246 SECA:124 IDUE:1824903 IDCA:483460156137072714293753 VERS:5.25.0.1 LOCA:1201 APTO:483 COMP:403 FALT:80 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170106 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:276 50:69 NOMI:345 BRAN:16 NULO:42 TOTC:403 HASH:0747ACB778FA323572CA8EC07DF5FEAC4790BEA54A8B28A66C41228BB402FB6EB19D0405BE81E6B9ADA8EB179D64D01868BA5D2AECB1BC1D116338F18AA0D2D1 ASSI:FE52018B960466E9A4FC22E75D6B7D4C739FE5BFFF9CD57C18B741EA62E6868CD6978E615CF31D8462E1FDFB6E13AFAEC8DAE8AF5634EE1EB0898E047F367209
SP,São Bernardo Do Campo,1167544,2016-10-30 19:46:39.580,284,130,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:70750 ZONA:284 SECA:130 IDUE:1167544 IDCA:179835477749399872925213 VERS:5.25.0.1 LOCA:1104 APTO:358 COMP:277 FALT:81 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170104 IDEL:221 CARG:11 TIPO:0 VERC:201610181756 23:87 45:126 NOMI:213 BRAN:16 NULO:48 TOTC:277 HASH:DC8A660BE100B06604184DD80F99F477D285355C1B5068D1D825C205DA5DCD3E4A8EA2D309FA8970EA8D0312CE9C06602DDF7DD74C6234D5AF4AF19E0BFBEFA3 ASSI:ECE75933E331D941B24A560351F8577B02E8AFC9A5F8E4C7C2371DD19C5D7B61D47C4569C611A0F0F597647BF9BF6CC420D43A60C246C104221B3D116AB6F107
RJ,Rio De Janeiro,1226077,2016-10-30 20:17:05.740,229,133,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:229 SECA:133 IDUE:1226077 IDCA:634994260232517969684688 VERS:5.25.0.1 LOCA:1139 APTO:496 COMP:423 FALT:73 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170151 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:124 50:228 NOMI:352 BRAN:18 NULO:53 TOTC:423 HASH:C04286795392540857D47C21E654519E36A815EBBC58860D3D0EF9120D401CF8D4B7750D7C0D2927F23B70C98A31EF3C8EBE221B2870BAC24A1CA753F77B9DA4 ASSI:F9A211C4BD707CBAD3A876671A03F6B864D77CA6C8070FC47D149F8C30AF48D5B935C21A1183623B8D08E9E50D8DBFD62CC502D86FA7D3FC3CC1350F74714F06
SC,Joinville,1777597,2016-10-30 20:52:32.050,19,134,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SC MUNI:81795 ZONA:19 SECA:134 IDUE:1777597 IDCA:302036042504673729383767 VERS:5.25.0.1 LOCA:1023 APTO:332 COMP:291 FALT:41 HBMA:19 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170009 IDEL:221 CARG:11 TIPO:0 VERC:201610191301 15:211 55:53 NOMI:264 BRAN:4 NULO:23 TOTC:291 HASH:0D7351246ACAB2EEF2D26B47EF1DBC26A51612E80D257304D8F99AB15D867AE51F9B75749B4039EC1DE036CFBE6ACCDB6821DAD3CBA62075BCA845D689EF0197 ASSI:1F9ECEC0DCF573F15F02355BD001FB4CA5C5AF2CBEB98E455EDCF86942FC366B3A8309CFAB40B1716158571B63AB3687B563C6BD65ECA328844E0C13A2D73204
RJ,Rio De Janeiro,1825191,2016-10-30 19:13:27.313,246,139,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:246 SECA:139 IDUE:1825191 IDCA:756187042282709737433212 VERS:5.25.0.1 LOCA:1201 APTO:484 COMP:408 FALT:76 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170235 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:276 50:70 NOMI:346 BRAN:19 NULO:43 TOTC:408 HASH:9C6BA9F52BBC63F5D7CE7E59EAAE99491D13FACDA6E628F57E1350D76306F82982C6A6A485F1BAB7658808502E51CE736154A0E176BB60393C947D22780F9E05 ASSI:4803DDFCFDE235003C51A7FE30E5C77C550B4FB6CC574C205E734AA68B130009883456657279E38DB475593AE662CC5F3EB0375DD5F54581170CF1D2EA2BBD06
SP,Ribeirão Preto,1679026,2016-10-30 19:10:45.657,322,148,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:69698 ZONA:322 SECA:148 IDUE:1679026 IDCA:561619814191086215807613 VERS:5.25.0.1 LOCA:1210 APTO:391 COMP:302 FALT:89 HBMA:1 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170032 IDEL:221 CARG:11 TIPO:0 VERC:201610181820 12:137 45:100 NOMI:237 BRAN:9 NULO:56 TOTC:302 HASH:C302775DD4398E15F49EB0BABF67B8B71CC97BBBEA7280AA88C507383B55D410DBC04A3507AB3A88842EF19947E67C5B8723DFC238A4690A1BC31FAA997AA6C5 ASSI:9822242E23F7639527B85D5CA7332DF5F8FE110B08DC4E6634D83B03546EEB794ADE636DE733100823B1766EB84D23C1865708CD74F87A3C022A1127D9EDA308
BA,Vitória Da Conquista,1269763,2016-10-30 19:55:30.637,41,150,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:BA MUNI:39659 ZONA:41 SECA:150 IDUE:1269763 IDCA:110350552361040717728498 VERS:5.25.0.1 LOCA:1015 APTO:394 COMP:322 FALT:72 HBMA:5 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170025 IDEL:221 CARG:11 TIPO:0 VERC:201610191445 13:118 15:177 NOMI:295 BRAN:5 NULO:22 TOTC:322 HASH:8D1B3D0B846D12CE6D851F13F05EBD6FB26D1BA3E397BDC71193D1D6908A9C158A0E9ACD3C1F7C550AB902956B8F06CEAD8A5B11ECBB280FA174E86DBFCB1FF0 ASSI:5A4313E95A195EB8698386B0DF308833751548C1D5EE1200D9F0369D4FD367B0E11A92A1E7112F01BD7F13158DB3F29AC83BD01A1D2EF7E92D771B174FD3340E
RJ,Rio De Janeiro,1825203,2016-10-30 19:12:03.670,246,151,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:246 SECA:151 IDUE:1825203 IDCA:321844870512701862517089 VERS:5.25.0.1 LOCA:1201 APTO:481 COMP:375 FALT:106 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170151 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:286 50:43 NOMI:329 BRAN:13 NULO:33 TOTC:375 HASH:A95B512CD1B580E882E5A4BC38D5789E4D9AF8D631EA2C82F0BA1C6BC5F3D0374CAFC07B84B42C1E608CE9E80C85FFF0EA67FE3584049B2872A0EB183C7B23DB ASSI:2A5BEBBEEE09508A621CAFDBAB104007112D2727FEC993275AFD9B2EEC764D1E8D2024D192B814F349AA60FB7E22D131E67351F08A412AC7ECC245B6CEB21103
PR,Maringá,1316811,2016-10-30 19:14:21.343,66,151,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PR MUNI:76910 ZONA:66 SECA:151 IDUE:1316811 IDCA:515659062269453932337369 VERS:5.25.0.1 LOCA:1015 APTO:344 COMP:262 FALT:82 HBMA:19 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170125 IDEL:221 CARG:11 TIPO:0 VERC:201610191155 11:153 12:99 NOMI:252 BRAN:3 NULO:7 TOTC:262 HASH:C8A14D74F0461D4480EFE1BE2689FBF0A7AA787D3EA9CA2AFECD7EE47960F546EB0408130517A0BCE85004C43269E6ACADA1CE39C421526E0FF1F11AD5E0401E ASSI:E3D8B9A432B032ADE129C09F6062795A227C36C3F20AD993AD2F2BAEFC5E53A68C5E5D6E3678725D29D0D47D9811A522A2ADE6C061EC7EF5CF12F49B5ED4810E
CE,Fortaleza,1621859,2016-10-30 20:44:28.687,114,152,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:CE MUNI:13897 ZONA:114 SECA:152 IDUE:1621859 IDCA:046064707850913536123388 VERS:5.25.0.1 LOCA:1244 APTO:421 COMP:371 FALT:50 HBMA:2 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170112 IDEL:221 CARG:11 TIPO:0 VERC:201610190727 12:147 22:195 NOMI:342 BRAN:9 NULO:20 TOTC:371 HASH:015751607FEE92B66A3C8A618EE24AF4B358470D8EC8F72CE5325397BF5639ACD0320E09D58C663976C2E57733BBBE1881F6285E4880E84341CA254418C7FDFA ASSI:737AB650BEAA96D3392B4900941EFFECF552CCEA286C732A7E43570419F24944609243877E11A70B6E40CF225108D3944655246D410105FB384794C04527B00B
SC,Joinville,1804873,2016-10-30 19:22:41.913,96,156,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SC MUNI:81795 ZONA:96 SECA:156 IDUE:1804873 IDCA:039332136413866042095365 VERS:5.25.0.1 LOCA:1082 APTO:335 COMP:295 FALT:40 HBMA:13 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170018 IDEL:221 CARG:11 TIPO:0 VERC:201610191301 15:208 55:66 NOMI:274 BRAN:3 NULO:18 TOTC:295 HASH:B9209E76ECFEA35F0F54AC39448EF227C8BCDA107A4A6B384A0343F9428B673B363E3AF1B5B821EFCA4B7B5A2303B8C7142656C8BC0936CFBBDC0286C3257203 ASSI:02A6F2264A6EF3E9F96AB1DA28E2F62412681965CC15A447B5FD1C6AC8642A8D5E33FB15978251F46289E633E1DB92C20E6DDD0CBA8385A0F21C6167357F120C
SP,Ribeirão Preto,1677213,2016-10-30 19:08:41.960,322,163,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:69698 ZONA:322 SECA:163 IDUE:1677213 IDCA:298992137264622228468032 VERS:5.25.0.1 LOCA:1210 APTO:389 COMP:302 FALT:87 HBMA:3 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170112 IDEL:221 CARG:11 TIPO:0 VERC:201610181820 12:155 45:83 NOMI:238 BRAN:11 NULO:53 TOTC:302 HASH:D7A0B6DC6F6B4DDA2F6A9BF4A7583FA660AA3AC75AF081910D984E4266CA442F9239B030E06A3F2320F9203D827B52AA002F1FD4ABE05DEEC66C4F24EC953920 ASSI:27F0652F18C4173076C4CC32F43BAA05F3172DF9535774F51B67EB94CAA410E7D864A63CC10D8D461F29F5334AC0F379A3A2EB8BD719441E6B1266669948D60B
MG,Belo Horizonte,1155511,2016-10-30 19:12:57.707,334,168,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:41238 ZONA:334 SECA:168 IDUE:1155511 IDCA:976989976846541414231071 VERS:5.25.0.1 LOCA:1163 APTO:420 COMP:329 FALT:91 HBMA:17 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170012 IDEL:221 CARG:11 TIPO:0 VERC:201610190939 31:145 45:111 NOMI:256 BRAN:13 NULO:60 TOTC:329 HASH:937BAF6A079B8D655EBBBD2FA7ACA50BD8587F0249D3369ACA400D4E8CE55166CD20291443DDD75D34FA32457516965CD269EE0793E6216F08B865CE6B7DF752 ASSI:A9CCC1D3E857005CB1844AA69F99BC2ED1EE6BF14C3909D59C792D2582BA193F853682E927208369A673AD82145FFD048CA586BAFEC8E0F63B8DE17B015EA808
RJ,São Gonçalo,1838818,2016-10-30 19:08:46.590,137,169,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:58971 ZONA:137 SECA:169 IDUE:1838818 IDCA:654172157428796646251565 VERS:5.25.0.1 LOCA:1139 APTO:393 COMP:320 FALT:73 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170119 IDEL:221 CARG:11 TIPO:0 VERC:201610190929 10:125 23:111 NOMI:236 BRAN:21 NULO:63 TOTC:320 HASH:5F4022AED27150052A91EAD62DBF56BBD974DF679D88DD80C01DAF0DCE3C7187C67ECDD01A5A36C9EB1DEF6FFB92DA41C3F04C67F52A7C0CFF9647672F862186 ASSI:865E23C409B5E18FB1197D7A4813C4DF537E656EEB63375921C51176DE737D2AB6E19AA203C8F35A4BF06C563F742CA16F3EC19AD155F9BE2EA622D387A54E0B
SP,Guarulhos,1804847,2016-10-30 19:33:04.733,185,170,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:64777 ZONA:185 SECA:170 IDUE:1804847 IDCA:009120586463274538048824 VERS:5.25.0.1 LOCA:1198 APTO:392 COMP:316 FALT:76 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170148 IDEL:221 CARG:11 TIPO:0 VERC:201610181803 25:29 40:217 NOMI:246 BRAN:30 NULO:40 TOTC:316 HASH:0DF981ABC967E81654F315B2D99AD1789BCF5043D33E9B40B52516BA8D97540441D0E6D36DCC43A3DF982F9BE4440FA4F637550FF9F571EA97829598819F52B9 ASSI:226F6F40E350343E2B4EFAE0BBF42CDEDE1590E290AF8B882C41369E8406E97763A383D24B2A3418759B55F90C70CADCC4E93CD76A5F88A92822C253BA841601
RJ,Rio De Janeiro,1825017,2016-10-30 19:07:28.587,246,172,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:246 SECA:172 IDUE:1825017 IDCA:210733012747800915347247 VERS:5.25.0.1 LOCA:1201 APTO:477 COMP:382 FALT:95 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170415 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:262 50:62 NOMI:324 BRAN:11 NULO:47 TOTC:382 HASH:5B590DC6D98ABBCCB62E5905684B92DD75B83B974DBD666B1B9D5CCC0330D03D54A62829916F1393A1ACACD619467071850947C7958A6AC31031030454B48D27 ASSI:3D23125651E426E7CC56E7662CFBBC6B0A1003A98F6CF63BAC043C2068274C65E5F5F5B664833227B3B97FC2B77334B5E782488CCFA9D0C4A99A4807DF351C06
RJ,São Gonçalo,1824937,2016-10-30 19:10:06.643,137,173,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:58971 ZONA:137 SECA:173 IDUE:1824937 IDCA:876394786999730243674614 VERS:5.25.0.1 LOCA:1139 APTO:115 COMP:103 FALT:12 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170109 IDEL:221 CARG:11 TIPO:0 VERC:201610190929 10:36 23:34 NOMI:70 BRAN:9 NULO:24 TOTC:103 HASH:A2449674D420A395D5EB9D1715297C7C1DB334B0C23BC15D63072B0C99E3E4DA9456DCA873B2465AFB61C6C1D7B332A950D907DBC3CB96A42867840D762CCF08 ASSI:87E74CE1199BD7843805C791851240CEDC4A8816913239E0A223D11FB3835EA587B05641E5D33D7A8EC8E71D285207793DE6E1BDDA648A43AF5D0E264EA2180D
SP,Ribeirão Preto,1678925,2016-10-30 19:08:27.210,322,179,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SP MUNI:69698 ZONA:322 SECA:179 IDUE:1678925 IDCA:197982764954406060681390 VERS:5.25.0.1 LOCA:1210 APTO:384 COMP:279 FALT:105 HBMA:0 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170026 IDEL:221 CARG:11 TIPO:0 VERC:201610181820 12:134 45:93 NOMI:227 BRAN:5 NULO:47 TOTC:279 HASH:1A7BE306F20219260CF32F68D24FAE46C7EE365CD9A2CE8F1EB9ABB5EAC1D5FD91BC659C8EDCDB9A533B0FD5CC3966A0945FB1F1EED987006321C04F7441B3A6 ASSI:50D23682C76BB0A13155113A8A46662401435BFB1CAD7138072C8C962DE1808705A835838B6348415C4D3EA4A2FE5DC760E9B85CB76A64C2C9BE9DFE81BEC402
SC,Joinville,1772550,2016-10-30 19:04:13.293,105,186,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SC MUNI:81795 ZONA:105 SECA:186 IDUE:1772550 IDCA:009064314309002991977118 VERS:5.25.0.1 LOCA:1198 APTO:334 COMP:305 FALT:29 HBMA:12 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170058 IDEL:221 CARG:11 TIPO:0 VERC:201610191301 15:107 55:175 NOMI:282 BRAN:9 NULO:14 TOTC:305 HASH:2A6B20A6DB41D0B4E36300482FBFE960A3DF03E266A25CB311EE94487551742A9C5BF71FBD3D8B9BDA492FE99A395857AF488C3821D632FD34E68E85E6B4B641 ASSI:4C73C485F96B733E2FEC8D71FFDAA30C76AE9B6C56845629C0EB689E29642901B905B0167053B027CBCE7B4F92460E765F9463B934A6DCA2D3CF84AA31A46E0E
CE,Fortaleza,1042366,2016-10-30 20:01:20.610,82,187,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:CE MUNI:13897 ZONA:82 SECA:187 IDUE:1042366 IDCA:440022865686220882231997 VERS:5.25.0.1 LOCA:2380 APTO:268 COMP:209 FALT:59 HBMA:2 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170239 IDEL:221 CARG:11 TIPO:0 VERC:201610190727 12:121 22:78 NOMI:199 BRAN:2 NULO:8 TOTC:209 HASH:74BD4A82566A2E824C323EB3FA4A52959E120F5560816EF880C675257BEA653C894C097B9CAF511D90F371BBF726D2A1E0CE65E167CBD3DF375DB0D08B9CDD2A ASSI:4048C0BD4FD8FEE64B3BE160676E17E2FC3D144D26D1B4E38F1EDEC275EA6FE2BAD473DC38354554F792BE90470CFBFB6546AAF9C343FA4531D2EF2C7E00970E
PE,Recife,1816154,2016-10-30 20:46:19.087,8,19,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:19 IDUE:1816154 IDCA:739961790149855785647478 VERS:5.25.0.1 LOCA:1040 APTO:159 COMP:136 FALT:23 HBMA:5 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170159 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:37 40:90 NOMI:127 BRAN:5 NULO:4 TOTC:136 HASH:E7789CB1B7724258ACDA9CF8777428B3B8592038F3E2E1DE43ACE55C4AC1B6EBA4D09B4A1A86675366FD664C52B4CCDA155E96549C311F0239E6CD6ABCB5C26E ASSI:C9ABB9D103C52A5BC58CA8C46EF16E67E86DE699B238386B8E9A6C64B1C81DB11CD1CD503A4C66D67E6F887742B2A6B81CC928B784A7B78AAEE447851E6E0802
AL,Maceió,1669946,2016-10-30 20:38:53.767,3,193,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:AL MUNI:27855 ZONA:3 SECA:193 IDUE:1669946 IDCA:963729015502781845653599 VERS:5.25.0.1 LOCA:1660 APTO:391 COMP:321 FALT:70 HBMA:19 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170131 IDEL:221 CARG:11 TIPO:0 VERC:201610190734 15:78 45:203 NOMI:281 BRAN:7 NULO:33 TOTC:321 HASH:EA9CF652C2FA85745364D6E6C9E8FEBECC2EAAF51AB4B891C1902DD4681B169F1B6B0AC76D8C7A8AB8D6DBDC779E93D8B9F079FFB22CA3159D99B2FD1F66DF14 ASSI:E20132513BA2D5FA5E8207A0A5C8C1FAC4C67CC897C13C9CA777EB8C2B0D5E7C20CF889CA61FCAAFB9856AB1230C6A748135F319641F7B301AE3C1DBDC882002
CE,Fortaleza,1617886,2016-10-30 20:48:32.787,118,197,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:CE MUNI:13897 ZONA:118 SECA:197 IDUE:1617886 IDCA:722876219582477473128532 VERS:5.25.0.1 LOCA:1325 APTO:413 COMP:371 FALT:42 HBMA:4 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170040 IDEL:221 CARG:11 TIPO:0 VERC:201610190727 12:175 22:153 NOMI:328 BRAN:9 NULO:34 TOTC:371 HASH:249DD6AF273BB32240B387E8D7184D7BA76975923FD0698CBB2911260B3A1D1388938FAEA0A3C03DD68B05ABB4E3419F879B614B90B30F3C0063D05586AA297D ASSI:CED88124C4C34054EF35A877AD54C6345F51A1CF384F287AED649C00DB8AFDCEB1CA780B6F703B9E7E58483F4AD36287BB7820758D5C40C240FD9DEDB8E9F00D
PE,Jaboatão Dos Guararapes,1187249,2016-10-30 20:14:57.377,101,2,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:24570 ZONA:101 SECA:2 IDUE:1187249 IDCA:562676786207671305308333 VERS:5.25.0.1 LOCA:1015 APTO:384 COMP:280 FALT:104 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170119 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 12:107 22:125 NOMI:232 BRAN:12 NULO:36 TOTC:280 HASH:3CE0F40B878034FFF8FCBC3E959CB525639C113E14A6629918FCB79A84D0B478A6ECC41026E370855962ACD2E3C4B3022356B8404860B96F0076A57E9ACDCC4F ASSI:4ECF85C49EA270627D27D04C5A1058D22869841AFAC2E238487E33F6C6A4244D251905582EC45B5915596F4CDE2305345307B84A39859FACED936BCCF7594203
PR,Maringá,1336470,2016-10-30 19:04:47.340,66,2,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PR MUNI:76910 ZONA:66 SECA:2 IDUE:1336470 IDCA:778285999995837809101941 VERS:5.25.0.1 LOCA:1015 APTO:192 COMP:143 FALT:49 HBMA:47 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170041 IDEL:221 CARG:11 TIPO:0 VERC:201610191155 11:84 12:53 NOMI:137 BRAN:4 NULO:2 TOTC:143 HASH:A64FE6100D077839E49AAC295EF9BDCF323CE2E026F7510CA464455C007191D6E9EAEBE90FE0F97791DD8A453E8141BE1DC0011CE9A58BF6879FC68EAEA3C4BF ASSI:601EB2828FD967C3F0974D4FEE1F26626A3C803DCEE9E21664F0D0765D6F364EE123EBA967F127E47B71AADDCEBC5D035FC26DD5E7A8337A8A8BD739C709F70D
SC,Joinville,1804590,2016-10-30 19:22:52.900,96,2,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:SC MUNI:81795 ZONA:96 SECA:2 IDUE:1804590 IDCA:392968617485232651667150 VERS:5.25.0.1 LOCA:1082 APTO:215 COMP:196 FALT:19 HBMA:11 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170005 IDEL:221 CARG:11 TIPO:0 VERC:201610191301 15:144 55:32 NOMI:176 BRAN:5 NULO:15 TOTC:196 HASH:547A680410DDC3AB411CAB11CBDDCD87D5F5157775EF8F9D9FBE6F228B3D91881F3CAEE038BC84DBE5E8635E7CF7D718F5EB65B42B12339F7FA6CE9BFDF05FDB ASSI:971C11C00E6557AC153FE40D583562BDF8A2B6E0AD1EF26C6F8920D3A91941526D393050A41743826173210AF7988B8485F5A9BB0EFB0B6403EE39B6A4932E02
PE,Recife,1806963,2016-10-30 20:45:31.567,8,20,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:20 AGRE:21 IDUE:1806963 IDCA:255113390001015221935711 VERS:5.25.0.1 LOCA:1040 APTO:292 COMP:258 FALT:34 HBMA:23 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170025 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:71 40:162 NOMI:233 BRAN:10 NULO:15 TOTC:258 HASH:AB2C2FF4D07540A6D78EAC09199D955DC1AF02ACCA452DBB51B0AA11862DB447681ADD12E5B15AD02589FEC391FC19CECA227BFA3DF51CB75C4A09B6235E830C ASSI:D725EFB466243DAF49CBAFBB5353B8A75DF8B6185902CA9CEB4A0EAD64F3FF02606640B3F528E2E3D9B7B959E48FF1CC64D0F83B2444BCBDC6D0812770137106
MG,Montes Claros,1323933,2016-10-30 19:25:13.543,317,202,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:48658 ZONA:317 SECA:202 IDUE:1323933 IDCA:725783127494187687349601 VERS:5.25.0.1 LOCA:1155 APTO:370 COMP:311 FALT:59 HBMA:4 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170055 IDEL:221 CARG:11 TIPO:0 VERC:201610191100 23:158 40:109 NOMI:267 BRAN:13 NULO:31 TOTC:311 HASH:26710849CFF83C46E3CAFD4A3F5AC6E71B5046B855CD62EF4DB5A6E6BB7700373B6F2F214E5E8EF0D4939D2A3E5B5B865CC3CAF3E0A20E8E08D91D31E780D274 ASSI:418B91FFAC54310EA4CA8DCD454336702AA80C97AF83E71D172069CC54B085A40FDB7F10E23EC7EFAAC463E19D46EFEE7A068EDC80A418F40C5F2FBF7E1E520D
MG,Montes Claros,1266073,2016-10-30 19:21:20.440,184,205,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:48658 ZONA:184 SECA:205 IDUE:1266073 IDCA:624771350961208056404836 VERS:5.25.0.1 LOCA:1090 APTO:260 COMP:194 FALT:66 HBMA:1 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170158 IDEL:221 CARG:11 TIPO:0 VERC:201610191100 23:107 40:63 NOMI:170 BRAN:7 NULO:17 TOTC:194 HASH:32274A97BFB5DC5D5401D55B70732EF0EF91B72455B7EA55E77BA693CC9DE0468D181EA0F3F01A786298A292B288C2201AA4E0277C2546E7F3E11E7400D24085 ASSI:9CCC68BAE4C7DB00C73A1D2ED5BEB4B05BE4955BCBA61DB2B80F6654F2A8A38420C63F9D84A22BE099E9F630464716C8D205240A32AA013CF7ED2715F76E3C0B
